n,d,graph_family,graph_seed,num_edges,n_pairs,edge_fraction,SND,SND_G_u,ratio,ratio_reciprocal,abs_distortion,lower_bound,pi_G,upper_bound,lambda_2,spectral_gap,d_max,is_ramanujan,ramanujan_bound,time_full_ms,time_graph_ms,data_source
50,24,bernoulli,12573,586,1225,0.47836734693877553,0.0046265386044979095,0.0046197897754609585,1.0014608519791959,0.9985412789962695,6.748829036951065e-06,0.47836734693877553,8.835209235209234,4.226475601496009,5.821640839334488,0.7992537641608797,29,True,10.583005244258363,149.0110746002756,71.25252021360211,synthetic
50,24,bernoulli,22573,609,1225,0.49714285714285716,0.0046265386044979095,0.004632631782442331,0.9986847264728625,1.0013170057499354,6.093177944421768e-06,0.49714285714285716,8.370673564481612,4.1614205720565725,6.241077228429838,0.7986749281151665,31,True,10.954451150103322,149.5440196013078,74.26953999674879,synthetic
50,24,bernoulli,32573,609,1225,0.49714285714285716,0.0046265386044979095,0.0046235788613557816,1.000640141161399,0.9993602683571579,2.9597431421279907e-06,0.49714285714285716,8.226674142850612,4.089832288160018,5.5895312785002735,0.8253271475468664,32,True,11.135528725660043,149.07504879520275,73.97842308855616,synthetic
50,24,bernoulli,42573,624,1225,0.5093877551020408,0.0046265386044979095,0.004623652435839176,1.0006242183422702,0.9993761710631945,2.886168658733368e-06,0.5093877551020408,8.24642302142302,4.200626910504461,5.769239152304368,0.8303164955204598,34,True,11.489125293076057,148.70091510820203,75.96535900374874,synthetic
50,24,uniform,3431,600,1225,0.4897959183673469,0.0046265386044979095,0.004632040858268738,0.998812131857385,1.001189280851451,5.502253770828247e-06,0.4897959183673469,8.78405936169094,4.302396422052706,5.604215949167243,0.8192188403494438,31,True,10.954451150103322,148.60863009816967,72.59085368714295,synthetic
50,24,uniform,13431,600,1225,0.4897959183673469,0.0046265386044979095,0.004629561677575111,0.9993470066309204,1.0006534200480381,3.0230730772018433e-06,0.4897959183673469,8.671076146076143,4.24705770420056,5.652994500038306,0.8337354558812262,34,True,11.489125293076057,148.4661279944703,72.64731241157278,synthetic
50,24,uniform,23431,600,1225,0.4897959183673469,0.0046265386044979095,0.004620698746293783,1.0012638474232518,0.9987377478708491,5.839858204126358e-06,0.4897959183673469,9.620121218650628,4.7118961070941845,5.45692813169479,0.8346385414637942,33,True,11.313708498984761,148.408483795356,73.43025000882335,synthetic
50,24,uniform,33431,600,1225,0.4897959183673469,0.0046265386044979095,0.004616058897227049,1.0022702715680591,0.997734870890157,1.0479707270860672e-05,0.4897959183673469,11.288239538239537,5.528933651382631,6.641533765032892,0.7987414010596093,33,True,11.313708498984761,149.05374140944332,72.68932750448585,synthetic
50,24,uniform,43431,600,1225,0.4897959183673469,0.0046265386044979095,0.004614872857928276,1.0025278587143722,0.9974785152428444,1.1665746569633484e-05,0.4897959183673469,8.807922632922633,4.314084554900882,5.72877187408217,0.8209758789349322,32,True,11.135528725660043,148.20213690400124,72.58960499893874,synthetic
50,24,knn,3275,742,1225,0.6057142857142858,0.0046265386044979095,0.004617075435817242,1.0020496023537446,0.9979545899235623,9.463168680667877e-06,0.6057142857142858,12.448177667742884,7.5400390444614045,16.33454983090953,0.6449010906324015,46,False,13.416407864998739,148.7378314952366,90.00826829578727,synthetic
50,24,knn,13275,742,1225,0.6057142857142858,0.0046265386044979095,0.004617075435817242,1.0020496023537446,0.9979545899235623,9.463168680667877e-06,0.6057142857142858,12.448177667742884,7.5400390444614045,16.33454983090953,0.6449010906324015,46,False,13.416407864998739,148.06358729838394,89.71421530004591,synthetic
50,24,knn,23275,742,1225,0.6057142857142858,0.0046265386044979095,0.004617075435817242,1.0020496023537446,0.9979545899235623,9.463168680667877e-06,0.6057142857142858,12.448177667742884,7.5400390444614045,16.33454983090953,0.6449010906324015,46,False,13.416407864998739,148.12916709925048,89.55337390070781,synthetic
50,24,knn,33275,742,1225,0.6057142857142858,0.0046265386044979095,0.004617075435817242,1.0020496023537446,0.9979545899235623,9.463168680667877e-06,0.6057142857142858,12.448177667742884,7.5400390444614045,16.33454983090953,0.6449010906324015,46,False,13.416407864998739,148.06880679097958,89.8735907045193,synthetic
50,24,knn,43275,742,1225,0.6057142857142858,0.0046265386044979095,0.004617075435817242,1.0020496023537446,0.9979545899235623,9.463168680667877e-06,0.6057142857142858,12.448177667742884,7.5400390444614045,16.33454983090953,0.6449010906324015,46,False,13.416407864998739,147.84184249583632,89.95888020726852,synthetic
100,7,random_regular,1058,350,4950,0.0707070707070707,0.0046733589842915535,0.004670472349971533,1.0006180604666333,0.9993823212961548,2.8866343200206757e-06,0.0707070707070707,109.37275341617446,7.7334270092244575,4.554363533488238,0.3493766380731088,7,True,4.898979485566356,604.3710244994145,42.72538219229318,synthetic
100,7,random_regular,11058,350,4950,0.0707070707070707,0.0046733589842915535,0.004672265611588955,1.0002340133873997,0.9997660413620538,1.0933727025985718e-06,0.0707070707070707,110.55349101191209,7.8169135058927735,4.635764693782399,0.3377479008882288,7,True,4.898979485566356,606.9130317133386,42.8516693005804,synthetic
100,7,random_regular,21058,350,4950,0.0707070707070707,0.0046733589842915535,0.004673410672694445,0.9999889398971091,1.0000110602252181,5.168840289115906e-08,0.0707070707070707,108.89987356984261,7.699991060493922,4.620469494262528,0.33993292939106745,7,True,4.898979485566356,610.1830544066615,43.237475981004536,synthetic
100,7,random_regular,31058,350,4950,0.0707070707070707,0.0046733589842915535,0.004673746880143881,0.9999170053787091,1.0000830015099698,3.878958523273468e-07,0.0707070707070707,106.73297392322159,7.546775933965164,4.545072165689394,0.35070397633008654,7,True,4.898979485566356,612.7330091956537,43.37456438806839,synthetic
